Header,,,,,,,,,,,,,,,,,,,
1350,1365,1381,1383,1448,1432,1318,1340,1272,1412,1549,1389,1267,1312,1417,1405,1465,1468,1494,1421
367,383,399,400,466,449,708,657,653,507,566,407,284,329,435,423,482,485,512,507
401,408,440,473,491,522,733,682,677,532,271,272,377,459,396,448,555,558,584,532
44.4,33.8,14.6,27.6,107,72.2,346,296,291,148,190,137,146,161,62.8,64.1,105,108,134,145
273,274,248,282,351,331,593,542,538,392,79.8,176,307,390,204,308,364,366,393,392
367,351,377,348,287,305,52.4,80.7,156,262,544,488,468,423,417,319,271,357,384,232
139,126,138,105,137,88.2,352,302,297,178,312,264,240,225,185,90,111,24.2,28.2,152
191,175,201,172,111,129,170,119,100,64.6,368,312,292,231,241,143,94.7,181,208,43.5
